Technology,,,,,,,,,,Financials,,,,,,,,Consumer Goods,,,,,,,,Materials,,,,,,,,,,,,,,,,,,,,Capital Goods/Others,,,,,,,,,,Transportation and Utilities,,,,,,,,,,,
Pharmaceuticals,,Electric Machinery,,Automobiles & Auto parts,,Precision Instruments,,Communications,,Banking,,Other Financial Services,,Securities,,Insurance,,Fishery,,Foods,,Retail,,Services,,Mining,,Textiles & Apparel,,Pulp & Paper,,Chemicals,,Petroleum,,Rubber,,Glass & Ceramics,,Steel,,Nonferrous Metals,,Trading Companies,,Construction,,Machinery,,Shipbuilding,,Other Manufacturing,,Real Estate,,Railway & Bus,,Land Transport,,Marine Transport,,Air Transport,,Electric Power,,Gas,
Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name,Code,Company Name
4151,"KYOWA KIRIN CO., LTD.",6479,MINEBEA MITSUMI INC.,7201,"NISSAN MOTOR CO., LTD.",4543,TERUMO CORP.,9432,"NTT, INC.",5831,"SHIZUOKA FINANCIAL GROUP, INC.",8253,"CREDIT SAISON CO., LTD.",8601,DAIWA SECURITIES GROUP INC.,8630,"SOMPO HOLDINGS, INC.",1332,NISSUI CORP.,2002,NISSHIN SEIFUN GROUP INC.,3086,"J.FRONT RETAILING CO., LTD.",2413,"M3, INC.",1605,INPEX CORP.,3401,TEIJIN LTD.,3861,OJI HOLDINGS CORP.,3405,"KURARAY CO., LTD.",5019,"IDEMITSU KOSAN CO., LTD.",5101,"THE YOKOHAMA RUBBER CO., LTD.",5201,AGC INC.,5401,NIPPON STEEL CORP.,3436,SUMCO CORP.,2768,SOJITZ CORP.,1721,COMSYS HOLDINGS CORP.,5631,"THE JAPAN STEEL WORKS, LTD.",7012,"KAWASAKI HEAVY IND., LTD.",7832,BANDAI NAMCO HOLDINGS INC.,3289,TOKYU FUDOSAN HOLDINGS CORP.,9001,"TOBU RAILWAY CO., LTD.",9064,"YAMATO HOLDINGS CO., LTD.",9101,NIPPON YUSEN K.K.,9201,"JAPAN AIRLINES CO., LTD.",9501,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",9531,"TOKYO GAS CO., LTD."
4502,"TAKEDA PHARMACEUTICAL CO., LTD.",6501,"HITACHI, LTD.",7202,ISUZU MOTORS LTD.,4902,"KONICA MINOLTA, INC.",9433,KDDI CORP.,7186,"CONCORDIA FINANCIAL GROUP, LTD.",8591,ORIX CORP.,8604,"NOMURA HOLDINGS, INC.",8725,"MS&AD INSURANCE GROUP HOLDINGS, INC.",,,2269,"MEIJI HOLDINGS CO., LTD.",3092,"ZOZO, INC.",2432,"DENA CO., LTD.",,,3402,"TORAY INDUSTRIES, INC.",,,3407,ASAHI KASEI CORP.,5020,"ENEOS HOLDINGS, INC.",5108,BRIDGESTONE CORP.,5214,"NIPPON ELECTRIC GLASS CO., LTD.",5406,"KOBE STEEL, LTD.",5706,MITSUI MINING & SMELTING CO.,8001,ITOCHU CORP.,1801,TAISEI CORP.,6103,OKUMA CORP.,,,7911,TOPPAN HOLDINGS INC.,8801,"MITSUI FUDOSAN CO., LTD.",9005,TOKYU CORP.,9147,"NIPPON EXPRESS HOLDINGS, INC.",9104,"MITSUI O.S.K.LINES, LTD.",9202,ANA HOLDINGS INC.,9502,"CHUBU ELECTRIC POWER CO., INC.",9532,"OSAKA GAS CO., LTD."
4503,ASTELLAS PHARMA INC.,6503,MITSUBISHI ELECTRIC CORP.,7203,TOYOTA MOTOR CORP.,6146,DISCO CORP.,9434,SOFTBANK CORP.,8304,"AOZORA BANK, LTD.",8697,"JAPAN EXCHANGE GROUP, INC.",,,8750,"DAI-ICHI LIFE HOLDINGS, INC.",,,2282,NH FOODS LTD.,3099,ISETAN MITSUKOSHI HOLDINGS LTD.,3659,"NEXON CO., LTD.",,,,,,,4004,RESONAC HOLDINGS CORP.,,,,,5233,TAIHEIYO CEMENT CORP.,5411,"JFE HOLDINGS, INC.",5711,MITSUBISHI MATERIALS CORP.,8002,MARUBENI CORP.,1802,OBAYASHI CORP.,6113,"AMADA CO., LTD.",,,7912,"DAI NIPPON PRINTING CO., LTD.",8802,"MITSUBISHI ESTATE CO., LTD.",9007,"ODAKYU ELECTRIC RAILWAY CO., LTD.",,,9107,"KAWASAKI KISEN KAISHA, LTD.",,,9503,"THE KANSAI ELECTRIC POWER CO., INC.",,
4506,"SUMITOMO PHARMA CO., LTD.",6504,"FUJI ELECTRIC CO., LTD.",7205,"HINO MOTORS, LTD.",7731,NIKON CORP.,9984,SOFTBANK GROUP CORP.,8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",,,,,8766,"TOKIO MARINE HOLDINGS, INC.",,,2501,SAPPORO HOLDINGS LTD.,3382,"SEVEN & I HOLDINGS CO., LTD.",4307,"NOMURA RESEARCH INSTITUTE, LTD.",,,,,,,4005,"SUMITOMO CHEMICAL CO., LTD.",,,,,5301,"TOKAI CARBON CO., LTD.",,,5713,"SUMITOMO METAL MINING CO., LTD.",8015,TOYOTA TSUSHO CORP.,1803,SHIMIZU CORP.,6273,SMC CORP.,,,7951,YAMAHA CORP.,8804,"TOKYO TATEMONO CO., LTD.",9008,KEIO CORP.,,,,,,,,,,
4507,"SHIONOGI & CO., LTD.",6506,YASKAWA ELECTRIC CORP.,7211,MITSUBISHI MOTORS CORP.,7733,OLYMPUS CORP.,,,8308,"RESONA HOLDINGS, INC.",,,,,8795,"T&D HOLDINGS, INC.",,,2502,"ASAHI GROUP HOLDINGS, LTD.",7453,"RYOHIN KEIKAKU CO., LTD.",4324,DENTSU GROUP INC.,,,,,,,4021,NISSAN CHEMICAL CORP.,,,,,5332,TOTO LTD.,,,5714,"DOWA HOLDINGS CO., LTD.",8031,"MITSUI & CO., LTD.",1808,HASEKO CORP.,6301,KOMATSU LTD.,,,,,8830,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",9009,"KEISEI ELECTRIC RAILWAY CO., LTD.",,,,,,,,,,
4519,"CHUGAI PHARMACEUTICAL CO., LTD.",6526,SOCIONEXT INC.,7261,MAZDA MOTOR CORP.,7741,HOYA CORP.,,,8309,"SUMITOMO MITSUI TRUST GROUP, INC.",,,,,,,,,2503,"KIRIN HOLDINGS CO., LTD.",8233,"TAKASHIMAYA CO., LTD.",4385,"MERCARI, INC.",,,,,,,4042,TOSOH CORP.,,,,,5333,"NGK INSULATORS, LTD.",,,5801,"FURUKAWA ELECTRIC CO., LTD.",8053,SUMITOMO CORP.,1812,KAJIMA CORP.,6302,"SUMITOMO HEAVY IND., LTD.",,,,,,,9020,EAST JAPAN RAILWAY CO.,,,,,,,,,,
4523,"EISAI CO., LTD.",6594,NIDEC CORP.,7267,"HONDA MOTOR CO., LTD.",7762,"CITIZEN WATCH CO., LTD.",,,8316,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",,,,,,,,,2801,KIKKOMAN CORP.,8252,"MARUI GROUP CO., LTD.",4661,"ORIENTAL LAND CO., LTD.",,,,,,,4043,TOKUYAMA CORP.,,,,,,,,,5802,"SUMITOMO ELECTRIC IND., LTD.",8058,MITSUBISHI CORP.,1925,"DAIWA HOUSE IND. CO., LTD.",6305,"HITACHI CONST. MACH. CO., LTD.",,,,,,,9021,WEST JAPAN RAILWAY CO.,,,,,,,,,,
4568,"DAIICHI SANKYO CO., LTD.",6645,OMRON CORP.,7269,SUZUKI MOTOR CORP.,,,,,8331,"THE CHIBA BANK, LTD.",,,,,,,,,2802,"AJINOMOTO CO., INC.",8267,"AEON CO., LTD.",4689,LY CORP.,,,,,,,4061,"DENKA CO., LTD.",,,,,,,,,5803,FUJIKURA LTD.,,,1928,"SEKISUI HOUSE, LTD.",6326,KUBOTA CORP.,,,,,,,9022,"CENTRAL JAPAN RAILWAY CO., LTD.",,,,,,,,,,
4578,"OTSUKA HOLDINGS CO., LTD.",6674,GS YUASA CORP.,7270,SUBARU CORP.,,,,,8354,"FUKUOKA FINANCIAL GROUP, INC.",,,,,,,,,2871,NICHIREI CORP.,9843,"NITORI HOLDINGS CO., LTD.",4704,TREND MICRO INC.,,,,,,,4063,"SHIN-ETSU CHEMICAL CO., LTD.",,,,,,,,,,,,,1963,JGC HOLDINGS CORP.,6361,EBARA CORP.,,,,,,,,,,,,,,,,,,
,,6701,NEC CORP.,7272,"YAMAHA MOTOR CO., LTD.",,,,,8411,"MIZUHO FINANCIAL GROUP, INC.",,,,,,,,,2914,JAPAN TOBACCO INC.,9983,"FAST RETAILING CO., LTD.",4751,"CYBERAGENT, INC.",,,,,,,4183,"MITSUI CHEMICALS, INC.",,,,,,,,,,,,,,,6367,"DAIKIN INDUSTRIES, LTD.",,,,,,,,,,,,,,,,,,
,,6702,FUJITSU LTD.,,,,,,,,,,,,,,,,,,,,,4755,"RAKUTEN GROUP, INC.",,,,,,,4188,MITSUBISHI CHEMICAL GROUP CORP.,,,,,,,,,,,,,,,6471,NSK LTD.,,,,,,,,,,,,,,,,,,
,,6723,RENESAS ELECTRONICS CORP.,,,,,,,,,,,,,,,,,,,,,6098,"RECRUIT HOLDINGS CO., LTD.",,,,,,,4208,UBE CORP.,,,,,,,,,,,,,,,6472,NTN CORP.,,,,,,,,,,,,,,,,,,
,,6724,SEIKO EPSON CORP.,,,,,,,,,,,,,,,,,,,,,6178,"JAPAN POST HOLDINGS CO., LTD.",,,,,,,4452,KAO CORP.,,,,,,,,,,,,,,,6473,JTEKT CORP.,,,,,,,,,,,,,,,,,,
,,6752,PANASONIC HOLDINGS CORP.,,,,,,,,,,,,,,,,,,,,,6532,"BAYCURRENT, INC.",,,,,,,4901,FUJIFILM HOLDINGS CORP.,,,,,,,,,,,,,,,7004,KANADEVIA CORP.,,,,,,,,,,,,,,,,,,
,,6753,SHARP CORP.,,,,,,,,,,,,,,,,,,,,,7974,"NINTENDO CO., LTD.",,,,,,,4911,"SHISEIDO CO., LTD.",,,,,,,,,,,,,,,7011,"MITSUBISHI HEAVY IND., LTD.",,,,,,,,,,,,,,,,,,
,,6758,SONY GROUP CORP.,,,,,,,,,,,,,,,,,,,,,9602,"TOHO CO., LTD",,,,,,,6988,NITTO DENKO CORP.,,,,,,,,,,,,,,,7013,IHI CORP.,,,,,,,,,,,,,,,,,,
,,6762,TDK CORP.,,,,,,,,,,,,,,,,,,,,,9735,"SECOM CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6770,"ALPS ALPINE CO., LTD.",,,,,,,,,,,,,,,,,,,,,9766,KONAMI GROUP CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6841,YOKOGAWA ELECTRIC CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6857,ADVANTEST CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6861,KEYENCE CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6902,DENSO CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6920,LASERTEC CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6952,"CASIO COMPUTER CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6954,FANUC CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6963,"ROHM CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6971,KYOCERA CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6976,"TAIYO YUDEN CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6981,"MURATA MANUFACTURING CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7735,"SCREEN HOLDINGS CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7751,CANON INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7752,"RICOH CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8035,TOKYO ELECTRON LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
